,job_name,company,location,salary,skills_req,link
284,Customer Service - Sales - Housing - EM - Sales,TATA CAPITAL LTD,Chennai,Not disclosed,"Compliance, Customer satisfaction, CRE, Service sales, Customer service, Vendor, Sales promotion, Auditing",https://www.naukri.com/job-listings-customer-service-sales-housing-em-sales-tata-capital-ltd-chennai-0-to-4-years-310122500316?src=jobsearchDesk&sid=16470883554236623&xp=6&px=15
285,Backend Operation (Non voice)- Chennai,Trigent,Chennai,Not disclosed,"night shift, insurance claims, backend, non voice",https://www.naukri.com/job-listings-backend-operation-non-voice-chennai-trigent-software-limited-chennai-0-to-0-years-291118600107?src=jobsearchDesk&sid=16470883554236623&xp=7&px=15
286,Jio Mart Hiring - HDE / KAE HoReCa & Institutions -B2B Grocery / FMCG,Reliance Retail,"Kochi/Cochin, Madurai, Pondicherry/Puducherry, Thrissur/Trichur, Salem, Chennai, Coimbatore, Trivandrum/Thiruvananthapuram, Erode","2,50,000 - 5,00,000 PA.","horeca, Customer Service, B2B, Sales, grocery, Institutional Sales, fmcg, B2B Sales",https://www.naukri.com/job-listings-jio-mart-hiring-hde-kae-horeca-institutions-b2b-grocery-fmcg-reliance-retail-kochi-cochin-madurai-pondicherry-puducherry-thrissur-trichur-salem-chennai-coimbatore-trivandrum-thiruvananthapuram-erode-0-to-5-years-260222004333?src=jobsearchDesk&sid=16470883554236623&xp=8&px=15
287,Walk-In Interviews - Btech/Mtech Fresher - Java or Python,SMARTIT FRAME SOFTWARE SERVICES PRIVATE LIMITED,Chennai,"50,000 - 1,75,000 PA.","python, java, IT Skills",https://www.naukri.com/job-listings-walk-in-interviews-btech-mtech-fresher-java-or-python-smartit-frame-software-services-private-limited-chennai-0-to-1-years-260222003643?src=jobsearchDesk&sid=16470883554236623&xp=9&px=15
288,Customer Service Executive,Trayee Business Solutions P Ltd.,Chennai,Not disclosed,"Analytical skills, Banking, Customer service, Business solutions, Customer Service Executive",https://www.naukri.com/job-listings-customer-service-executive-trayee-business-solutions-p-ltd-chennai-0-to-1-years-250419500914?src=jobsearchDesk&sid=16470883554236623&xp=10&px=15
289,Walk-In For Java Freshers / Work Location - Madurai,Chain-Sys,Chennai(Ayanambakkam +1),Not disclosed,"Java, IT Skills, C++, Advanced Java, core java",https://www.naukri.com/job-listings-walk-in-for-java-freshers-work-location-madurai-chain-sys-india-pvt-ltd-chennai-0-to-1-years-250222010619?src=jobsearchDesk&sid=16470883554236623&xp=11&px=15
290,customer service officer - japan desk,Formula Group,Chennai,Not disclosed,"Interpersonal skills, Sales operations, Customer service, Management, Japanese",https://www.naukri.com/job-listings-customer-service-officer-japan-desk-formula-group-chennai-0-to-4-years-250122500476?src=jobsearchDesk&sid=16470883554236623&xp=12&px=15
291,Customer Service - Sales - Housing - DM - HL - Sales,TATA CAPITAL LTD,Chennai,Not disclosed,"Compliance, Customer satisfaction, CRE, Service sales, Customer service, Vendor, Sales promotion, Auditing",https://www.naukri.com/job-listings-customer-service-sales-housing-dm-hl-sales-tata-capital-ltd-chennai-0-to-4-years-230222500239?src=jobsearchDesk&sid=16470883554236623&xp=13&px=15
292,Airport Customer Service Agent,Smart group,"Nagercoil, Chennai, Coimbatore","3,00,000 - 4,00,000 PA.","Ground Staff Activities, Customer Service, Aviation, B.E Mechanical Engineering, Ground Handling, Airport Operation, Airport Ground Handling, Any Degree",https://www.naukri.com/job-listings-airport-customer-service-agent-smart-group-nagercoil-chennai-coimbatore-0-to-0-years-220222008191?src=jobsearchDesk&sid=16470883554236623&xp=14&px=15
293,New Associate-Customer service - Inbound,Accenture,Chennai,Not disclosed,"IT Skills, Cloud, Outbound, Master data management, Customer service management, Service desk, Consulting, Voice support",https://www.naukri.com/job-listings-new-associate-customer-service-inbound-accenture-solutions-pvt-ltd-chennai-0-to-1-years-210222905957?src=jobsearchDesk&sid=16470883554236623&xp=15&px=15
294,Customer Service Executive,MY INDIAN PEROPERTY,Chennai,Not disclosed,"Malayalam, Customer Care Executive, Customer Service Executive",https://www.naukri.com/job-listings-customer-service-executive-my-indian-peroperty-chennai-0-to-2-years-200421501246?src=jobsearchDesk&sid=16470883554236623&xp=16&px=15
295,Customer Service Executive,Edeal FX,Chennai,Not disclosed,"CFD, Business administration, Forex, Sales, financial products, Online trading, Customer service, MS Office",https://www.naukri.com/job-listings-customer-service-executive-edeal-fx-chennai-0-to-5-years-170320500133?src=jobsearchDesk&sid=16470883554236623&xp=17&px=15
296,Customer Service Executive,Smart Career Overseas,Chennai(Teynampet),"1,75,000 - 3,00,000 PA.","Customer Support, Good Communication In English, Client Servicing, Sales, Relationship Building, Business Development",https://www.naukri.com/job-listings-customer-service-executive-smart-career-overseas-chennai-0-to-5-years-140222009918?src=jobsearchDesk&sid=16470883554236623&xp=18&px=15
297,Back office Non Voice - Chennai,Trigent,Chennai,"1,00,000 - 1,25,000 PA.","BPO, voice, back office, Backend, Back Office Support, Non Voice",https://www.naukri.com/job-listings-back-office-non-voice-chennai-trigent-software-private-limited-chennai-0-to-0-years-100222609043?src=jobsearchDesk&sid=16470883554236623&xp=19&px=15
298,Back office Non Voice - Chennai,Trigent,Chennai,"1,00,000 - 1,25,000 PA.","BPO, voice, back office, Backend, Back Office Support, Non Voice",https://www.naukri.com/job-listings-back-office-non-voice-chennai-trigent-software-private-limited-chennai-0-to-0-years-100222009041?src=jobsearchDesk&sid=16470883554236623&xp=20&px=15
299,Customer Service Executive,Ascendum Kps Private Limited,Remote,"50,000 - 1,50,000 PA.","customer service, calling",https://www.naukri.com/job-listings-customer-service-executive-ascendum-kps-private-limited-chennai-0-to-5-years-100222003115?src=jobsearchDesk&sid=16470883744089110&xp=1&px=16
300,CUSTOMER SERVICE EXECUTIVE,DCB,Chennai,Not disclosed,"Retail, Sales, Networking, Compliance, Trade finance, Mutual funds, MIS, banking products",https://www.naukri.com/job-listings-customer-service-executive-dcb-bank-limited-chennai-0-to-2-years-090921500818?src=jobsearchDesk&sid=16470883744089110&xp=2&px=16
301,CUSTOMER SERVICE EXECUTIVE,DCB,Chennai,Not disclosed,"Sales, Networking, Compliance, MIS, Banking, banking products, Customer Service Executive, Auditing",https://www.naukri.com/job-listings-customer-service-executive-dcb-bank-limited-chennai-0-to-2-years-090921500808?src=jobsearchDesk&sid=16470883744089110&xp=3&px=16
302,Customer Service Executive,TRDFIN SUPPORT SERVICES PRIVATE LIMITED,Chennai(Mylapore),"80,000 - 2,50,000 PA.","BPO, customer service, Communication Skills, Presentation Skills, Effective Communication, Team Skills, Analytical Skills, Problem Solving",https://www.naukri.com/job-listings-customer-service-executive-trdfin-support-services-private-limited-chennai-0-to-5-years-090222006745?src=jobsearchDesk&sid=16470883744089110&xp=4&px=16
303,Job Fair For Fresher & Experience @ Matrimony - Guindy,Matrimony.com,Chennai,"1,50,000 - 2,75,000 PA.","BPO, voice, benefits, voice process, pf, bonus, gratuity, hr",https://www.naukri.com/job-listings-fair-for-fresher-experience-matrimony-guindy-matrimony-com-limited-chennai-0-to-4-years-040322005174?src=jobsearchDesk&sid=16470883744089110&xp=5&px=16
304,Medical Representative -Chennai Hq,Zuventus Healthcare Ltd,Chennai,Not disclosed,"Sales, Time Management, Healthcare, Field Work, Business Development, Management Skills, Pharmaceutical Sales",https://www.naukri.com/job-listings-medical-representative-chennai-hq-zuventus-healthcare-ltd-chennai-0-to-4-years-040322002732?src=jobsearchDesk&sid=16470883744089110&xp=6&px=16
305,Mega Walk In - Medical Coding Trained Freshers,Worldsource Healthcare India Pvt Ltd,Chennai,Not disclosed,"medical coding, human anatomy, physiology, cpt, interpersonal skills, icd",https://www.naukri.com/job-listings-mega-walk-in-medical-coding-trained-freshers-worldsource-healthcare-india-pvt-ltd-chennai-0-to-0-years-020322002720?src=jobsearchDesk&sid=16470883744089110&xp=7&px=16
306,Hindi Non Voice - Banking Process,Cameo Corporate Services Limited,Chennai(Mount Road),Not disclosed,"BPO, semi voice, hindi, banking process, Hindi Speaking",https://www.naukri.com/job-listings-hindi-non-voice-banking-process-cameo-corporate-services-limited-chennai-0-to-2-years-010322001396?src=jobsearchDesk&sid=16470883744089110&xp=8&px=16
307,Genpact is Hiring For Regional Language || Virtual Drive ON 14-March,Genpact,"Dadra & Nagar Haveli/Silvassa, Hyderabad/Secunderabad, Aizawl, Daman & Diu, Jaisalmer",Not disclosed,"BPO, customer service, non voice, mizo, facebook, meitei, customer care, problem solving",https://www.naukri.com/job-listings-genpact-is-hiring-for-regional-language-virtual-drive-on-14-march-genpact-india-private-limited-dadra-nagar-haveli-silvassa-hyderabad-secunderabad-aizawl-daman-diu-jaisalmer-0-to-5-years-110322003980?src=jobsearchDesk&sid=16470883744089110&xp=9&px=16
308,Genpact is Hiring For Bengali Language || Virtual Drive on 14-March,Genpact,"Kolkata, Singur, Hyderabad/Secunderabad",Not disclosed,"BPO, customer service, non voice, mizo, facebook, meitei, customer care, problem solving",https://www.naukri.com/job-listings-genpact-is-hiring-for-bengali-language-virtual-drive-on-14-march-genpact-india-private-limited-kolkata-singur-hyderabad-secunderabad-0-to-5-years-110322003963?src=jobsearchDesk&sid=16470883744089110&xp=10&px=16
309,Mega Virtual Drive For Non-Voice Process ( Regional Languages ),Genpact,Hyderabad/Secunderabad,Not disclosed,"BPO, customer service, non voice, Malayalam, Non Voice Process, Urdu, Marathi, Content Review",https://www.naukri.com/job-listings-mega-virtual-drive-for-non-voice-process-regional-languages-genpact-india-private-limited-hyderabad-secunderabad-0-to-5-years-280222003540?src=jobsearchDesk&sid=16470883744089110&xp=11&px=16
310,Selling Partner Support Associate - SPS IN(Work from Home) - Hyd(2022),Amazon,Hyderabad/Secunderabad,"3,00,000 - 4,00,000 PA.","Clearing, Email Support, Service Level, Customer Service, Inbound, MS Office, Operational Support, Outbound Calling",https://www.naukri.com/job-listings-selling-partner-support-associate-sps-in-work-from-home-hyd-2022-amazon-development-centre-india-pvt-ltd-hyderabad-secunderabad-0-to-5-years-251121001259?src=jobsearchDesk&sid=16470883744089110&xp=12&px=16
311,Amazon HYD is Hiring For Quality Specialist,Amazon,Hyderabad/Secunderabad,"3,25,000 - 4,00,000 PA.","Origin, Data Science, Data Presentation, Performance Metrics, Excel, Word, Process Optimization, Product Engineering",https://www.naukri.com/job-listings-amazon-hyd-is-hiring-for-quality-specialist-amazon-development-centre-india-pvt-ltd-hyderabad-secunderabad-0-to-4-years-230621001636?src=jobsearchDesk&sid=16470883744089110&xp=13&px=16
312,Selling Partner Support Associate - SPS NA(Work from Home) - Hyderabad,Amazon,Hyderabad/Secunderabad,"3,00,000 - 4,00,000 PA.","Clearing, Email Support, Service Level, Customer Service, freshers, Contact Center, graduates, Problem Solving",https://www.naukri.com/job-listings-selling-partner-support-associate-sps-na-work-from-home-hyderabad-amazon-development-centre-india-pvt-ltd-hyderabad-secunderabad-0-to-5-years-171120005114?src=jobsearchDesk&sid=16470883744089110&xp=14&px=16
313,Amazon - HR Contact Center Associate - Work From Home( 0 To 10 years ),Amazon,Remote,"1,50,000 - 4,50,000 PA.","IT Skills, Salesforce, Customer Service, HR Assistance, Case Management, Phone, Contact Center, Office Skills",https://www.naukri.com/job-listings-amazon-hr-contact-center-associate-work-from-home-0-to-10-years-amazon-development-centre-india-pvt-ltd-hyderabad-secunderabad-0-to-5-years-040821010425?src=jobsearchDesk&sid=16470883744089110&xp=15&px=16
314,Genpact Hiring For Voice Process - Collections (Banking),Genpact,Hyderabad/Secunderabad(Uppal),Not disclosed,"BPO, voice, inbound, outbound, hindi, Banking Collection, voice process, Telecalling",https://www.naukri.com/job-listings-genpact-hiring-for-voice-process-collections-banking-genpact-india-private-limited-hyderabad-secunderabad-0-to-2-years-250222008313?src=jobsearchDesk&sid=16470883744089110&xp=16&px=16
315,Executive/Sr. Executive Business Development,Tech Mahindra Foundation,Hyderabad/Secunderabad,Not disclosed,"educational qualification, business development, communication skills, monthly reports",https://www.naukri.com/job-listings-executive-sr-executive-business-development-tech-mahindra-foundation-hyderabad-secunderabad-0-to-5-years-100322006920?src=jobsearchDesk&sid=16470883744089110&xp=17&px=16
316,IT Service Desk / IT Helpdesk / IT Infrastructure with MNC,Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Ahmedabad, Chennai, Jaipur, Bangalore/Bengaluru, Mumbai (All Areas)","4,50,000 - 6,50,000 PA.","IT Helpdesk, technical support, service desk, BPO, voice, tech support, good communication, Hardware Networking",https://www.naukri.com/job-listings-it-service-desk-it-helpdesk-it-infrastructure-with-mnc-creative-hands-hr-consultancy-hyderabad-secunderabad-ahmedabad-chennai-jaipur-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-280222001718?src=jobsearchDesk&sid=16470883744089110&xp=18&px=16
317,"Customer Care Executive - Email /chat/ NON Voice - BPO, Sal 40kctc",Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Ahmedabad, Chennai, Jaipur, Bangalore/Bengaluru, Mumbai (All Areas)","3,25,000 - 5,00,000 PA.","day shift, bank, fresher, BPO, voice, technical support, non voice, back office",https://www.naukri.com/job-listings-customer-care-executive-email-chat-non-voice-bpo-sal-40kctc-creative-hands-hr-consultancy-hyderabad-secunderabad-ahmedabad-chennai-jaipur-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-130122007890?src=jobsearchDesk&sid=16470883744089110&xp=19&px=16
318,Cardiologist - Hospital - DM/DNB,Great Coaches HR Consultants,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, delhi ncr",Not disclosed,"clinical research, good motivator and leader, Education, Cardiac, Problem Solving, Medical, Hospital, Resource Management",https://www.naukri.com/job-listings-cardiologist-hospital-dm-dnb-great-coaches-hr-consultants-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-0-to-5-years-120322002469?src=jobsearchDesk&sid=16470883744089110&xp=20&px=16
319,Customer Service Role,BiznusSoft Solutions,Hyderabad/Secunderabad,Not disclosed,"oral, written, Customer Service, Customer Support, Voice Support",https://www.naukri.com/job-listings-customer-service-role-biznussoft-solutions-hyderabad-secunderabad-0-to-2-years-090322900111?src=jobsearchDesk&sid=16470883943611343&xp=1&px=17
320,Customer Technical Support Representative,Thomson Reuters,Hyderabad/Secunderabad,Not disclosed,"IT Skills, Project Management, BPO, customer service, project management, Computer science, Product management, ERP",https://www.naukri.com/job-listings-customer-technical-support-representative-thomson-reuters-india-pvt-ltd-hyderabad-secunderabad-0-to-3-years-110322502004?src=jobsearchDesk&sid=16470883943611343&xp=2&px=17
321,Walk-In For Sales Representative( Kukatpally) @ Heritage Foods limited,Heritage Foods,Hyderabad/Secunderabad,"1,25,000 - 1,75,000 PA.","Brand Management, Retail Outlets, Distribution, Dairy, FMCG, sales, food",https://www.naukri.com/job-listings-walk-in-for-sales-representative-kukatpally-heritage-foods-limited-heritage-foods-limited-hyderabad-secunderabad-0-to-4-years-110322003452?src=jobsearchDesk&sid=16470883943611343&xp=3&px=17
322,"Walk-in's drive For Store Managers , Store IN charges and Optometrist",Lenskart,Hyderabad/Secunderabad,"50,000 - 3,00,000 PA.","store management, Retail, Sales, Retail Management",https://www.naukri.com/job-listings-walk-in-s-drive-for-store-managers-store-in-and-optometrist-lenskart-solutions-private-limited-hyderabad-secunderabad-0-to-5-years-110322003029?src=jobsearchDesk&sid=16470883943611343&xp=4&px=17
323,Bpo - Walkin - Voice / Non Voice Process - Day / Night Shift,Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Ahmedabad, Chennai, Jaipur, Bangalore/Bengaluru, Mumbai (All Areas)","3,25,000 - 5,00,000 PA.","bpo, night shift, day shift, voice, non voice, back office, semi voice, non voice process",https://www.naukri.com/job-listings-bpo-walkin-voice-non-voice-process-day-night-shift-creative-hands-hr-consultancy-hyderabad-secunderabad-ahmedabad-chennai-jaipur-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-070322000984?src=jobsearchDesk&sid=16470883943611343&xp=5&px=17
324,"Freshers, Sal 25k To 45k net - US Voice Process - International BPO",Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Ahmedabad, Chennai, Jaipur, Bangalore/Bengaluru, Mumbai (All Areas)","3,25,000 - 5,00,000 PA.","day shift, inbound, fresher, BPO, voice, technical support, hexaware, serco",https://www.naukri.com/job-listings-freshers-sal-25k-to-45k-net-us-voice-process-international-bpo-creative-hands-hr-consultancy-hyderabad-secunderabad-ahmedabad-chennai-jaipur-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-070322000980?src=jobsearchDesk&sid=16470883943611343&xp=6&px=17
325,Freshers openings For International Voice Process,Hireworks Recruitment Consultants Private limited,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"BPO, voice, International Call Center, international voice process, US Shift, Night Shift, Voice Process, International BPO",https://www.naukri.com/job-listings-freshers-openings-for-international-voice-process-hireworks-recruitment-consultants-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-1-years-120322603107?src=jobsearchDesk&sid=16470883943611343&xp=7&px=17
326,Freshers openings For International Voice Process,Hireworks Recruitment Consultants Private limited,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"BPO, voice, International Call Center, international voice process, US Shift, Night Shift, Voice Process, International BPO",https://www.naukri.com/job-listings-freshers-openings-for-international-voice-process-hireworks-recruitment-consultants-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-1-years-120322003105?src=jobsearchDesk&sid=16470883943611343&xp=8&px=17
327,Exciting opportunity Freshers Graduates @ Hhyderabad/Banglore/Chennai,Genus Healthcare Solution and IT Consulting Pvt Lt d,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"Blended Process, Voice Process, US Healthcare, International BPO",https://www.naukri.com/job-listings-exciting-opportunity-freshers-graduates-hhyderabad-banglore-chennai-genus-healthcare-solution-and-it-consulting-pvt-lt-d-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-0-years-090322006172?src=jobsearchDesk&sid=16470883943611343&xp=9&px=17
328,Gamer Support,Fidelis Corporate Solutions Pvt Ltd,"Noida, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)",Not disclosed,"BPO, customer service, technical support, inbound, phone, calling, call center, social media",https://www.naukri.com/job-listings-gamer-support-fidelis-corporate-solutions-pvt-ltd-noida-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-0-to-3-years-150222004149?src=jobsearchDesk&sid=16470883943611343&xp=10&px=17
329,Teleperformance || International Voice Process || Malad,Teleperformance,Mumbai,"2,00,000 - 2,50,000 PA.","Customer Support, BPO, voice, Hospitality, Aftersales, International Call Center, Telesales, Solving Queries",https://www.naukri.com/job-listings-teleperformance-international-voice-process-malad-teleperformance-mumbai-0-to-4-years-120322004316?src=jobsearchDesk&sid=16470883943611343&xp=11&px=17
330,Hiring For International Voice Process & Chat Process,Tech Mahindra Business Services,"Mumbai, Mumbai (All Areas)","2,75,000 - 4,25,000 PA.","Voice Process, sales, International BPO, BPO, voice, Blended Process, Customer Service, International Call Center",https://www.naukri.com/job-listings-hiring-for-international-voice-process-chat-process-tech-mahindra-business-services-limited-mumbai-mumbai-all-areas-0-to-5-years-120322003028?src=jobsearchDesk&sid=16470883943611343&xp=12&px=17
331,Wipro is Hiring For International Voice Process | Mumbai,Wipro,Mumbai,"1,25,000 - 2,00,000 PA.","BPO, voice, Customer Service, Voice Process, International BPO, International Voice Process",https://www.naukri.com/job-listings-wipro-is-hiring-for-international-voice-process-mumbai-wipro-limited-mumbai-0-to-2-years-120322002118?src=jobsearchDesk&sid=16470883943611343&xp=13&px=17
332,Teleperformance || International Voice Process || Malad,Teleperformance,Mumbai,"2,00,000 - 2,50,000 PA.","International Call Center, International Process, International BPO, BPO, voice, Hospitality, Aftersales, Telesales",https://www.naukri.com/job-listings-teleperformance-international-voice-process-malad-teleperformance-mumbai-0-to-4-years-120322001406?src=jobsearchDesk&sid=16470883943611343&xp=14&px=17
333,Teleperformance || International Voice Process || Malad,Teleperformance,Mumbai,"2,00,000 - 2,50,000 PA.","BPO, voice, Hospitality, Customer Service, Aftersales, International Call Center, Telesales, Solving Queries",https://www.naukri.com/job-listings-teleperformance-international-voice-process-malad-teleperformance-mumbai-0-to-4-years-100322005208?src=jobsearchDesk&sid=16470883943611343&xp=15&px=17
334,"We are hiring Medicinal Chemistry(R&D), Sr.Chemist, Jr.Chemist",NCHEMLABORATORIES,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"chemical research, production, educational qualification, medicinal chemistry, communication skills",https://www.naukri.com/job-listings-we-are-hiring-medicinal-chemistry-r-d-sr-chemist-jr-chemist-nchemlaboratories-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-4-years-020322005819?src=jobsearchDesk&sid=16470883943611343&xp=16&px=17
335,Service Manager- Share Market Background,Angel Broking,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","2,50,000 - 5,00,000 PA.","Selling, Sales, Relationship Management, nism, Customer Service Management, Management Skills, LI, nism 7",https://www.naukri.com/job-listings-service-manager-share-market-background-angel-broking-limited-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-4-years-280222003880?src=jobsearchDesk&sid=16470883943611343&xp=17&px=17
336,Customer Service Associate,Firstsource Solutions Limited,Mumbai Suburban,"2,00,000 - 2,50,000 PA.","BPO, customer service, non voice, night shift, international bpo, banking process, uk shift, Chat Process",https://www.naukri.com/job-listings-customer-service-associate-firstsource-solutions-limited-mumbai-suburban-0-to-3-years-120322002209?src=jobsearchDesk&sid=16470883943611343&xp=18&px=17
337,Fresher Hiring For International Voice/ Chat Process,Tech Mahindra Business Services,"Mumbai, Mumbai (All Areas)","2,50,000 - 2,75,000 PA.","BPO, voice, back office, fresher, bpo fresher, chat, Voice Process, Night Shift",https://www.naukri.com/job-listings-fresher-hiring-for-international-voice-chat-process-tech-mahindra-business-services-limited-mumbai-mumbai-all-areas-0-to-0-years-120322002108?src=jobsearchDesk&sid=16470883943611343&xp=19&px=17
338,Opening For Customer Service Executive - Voice & Chat Process,Tech Mahindra Business Services,Mumbai (All Areas),Not disclosed,"customer service executive, chat process, Voice Process, BPO, voice, Customer Service, Solving Queries, customer care",https://www.naukri.com/job-listings-opening-for-customer-service-executive-voice-chat-process-tech-mahindra-business-services-limited-mumbai-all-areas-0-to-5-years-020322005664?src=jobsearchDesk&sid=16470883943611343&xp=20&px=17
339,Customer Service Associate(Non Voice),Trigent,Mumbai (All Areas),"2,25,000 - 4,00,000 PA.","BPO, customer service, Bpo Customer Service, Web Chat, Email Process, Chat Process",https://www.naukri.com/job-listings-customer-service-associate-non-voice-trigent-software-private-limited-mumbai-all-areas-0-to-1-years-280122611263?src=jobsearchDesk&sid=16470884150601180&xp=1&px=18
340,Amazon Hiring For Payment Risk Operations Bangalore Location,Amazon,"Bangalore/Bengaluru
(WFH during Covid)","3,00,000 - 4,00,000 PA.","financial institutions, risk management, Transaction Risk Investigator, Risk Investigator, fresher, data security, data research",https://www.naukri.com/job-listings-amazon-hiring-for-risk-operations-bangalore-location-amazon-development-centre-india-pvt-ltd-bangalore-bengaluru-0-to-5-years-040122006935?src=jobsearchDesk&sid=16470884150601180&xp=2&px=18
341,Amazon - Hiring For Catalog Associate in Bangalore,Amazon,Bangalore/Bengaluru,"2,25,000 PA.","Communication Skills, Catalog Associate, Problem Solving, Fresher, Amazon",https://www.naukri.com/job-listings-amazon-hiring-for-catalog-associate-in-bangalore-amazon-development-centre-india-pvt-ltd-bangalore-bengaluru-0-to-2-years-240122002982?src=jobsearchDesk&sid=16470884150601180&xp=3&px=18
342,Brand Leader /sr.brand Leader/ Marketing Manager - Respiratory,AstraZeneca Pharma India,"Bangalore/Bengaluru, bangalore",Not disclosed,"Product management, prelaunch, Strategic Marketing, Branding, Marketing",https://www.naukri.com/job-listings-brand-leader-sr-brand-leader-marketing-manager-respiratory-astrazeneca-pharma-india-bangalore-bengaluru-bangalore-0-to-0-years-010322909164?src=jobsearchDesk&sid=16470884150601180&xp=4&px=18
343,Chartered Accountant,CREDAVENUE PRIVATE LIMITED,"Chennai, Mumbai (All Areas)","5,00,000 - 12,00,000 PA.","accounting, fixed income securities, chartered accountant, structured finance, far, debt market, financing, bonds",https://www.naukri.com/job-listings-chartered-accountant-credavenue-private-limited-chennai-mumbai-all-areas-0-to-1-years-150222006447?src=jobsearchDesk&sid=16470884150601180&xp=5&px=18
344,Walk-in | Rebel foods is hiring For Webchat Process _ Work from office,Faaso's,Pune,Not disclosed,"Communication Skills, Customer Service, Customer Support, Email, Cce, Client Servicing, Customer Care, Chat",https://www.naukri.com/job-listings-walk-in-rebel-foods-is-hiring-for-webchat-process-work-from-office-rebel-foods-private-limited-pune-0-to-3-years-250222009043?src=jobsearchDesk&sid=16470884150601180&xp=6&px=18
345,Direct Walk-in For Advisor Profile,Teleperformance,Gurgaon/Gurugram,"90,000 - 2,25,000 PA.","BPO, voice, inbound, outbound, CSA, Communication Skills, Customer Support, Banking Process",https://www.naukri.com/job-listings-direct-walk-in-for-advisor-profile-teleperformance-global-services-pvt-ltd-gurgaon-gurugram-0-to-5-years-220222003648?src=jobsearchDesk&sid=16470884150601180&xp=7&px=18
346,Customer Service Executive,Allsec Technologies Limited,Bangalore/Bengaluru,"2,00,000 - 2,25,000 PA.","inbound calls, calling, semi voice, BPO, voice, inbound, hindi, Email Support",https://www.naukri.com/job-listings-customer-service-executive-allsec-technologies-limited-bangalore-bengaluru-0-to-1-years-180222002818?src=jobsearchDesk&sid=16470884150601180&xp=8&px=18
347,Customer Service Executive,Allsec Technologies Limited,Bangalore/Bengaluru,"2,00,000 - 2,25,000 PA.","inbound calls, calling, semi voice, BPO, voice, inbound, hindi, Email Support",https://www.naukri.com/job-listings-customer-service-executive-allsec-technologies-limited-bangalore-bengaluru-0-to-1-years-140222002325?src=jobsearchDesk&sid=16470884150601180&xp=9&px=18
348,New Associate-Procure To Pay Processing,Accenture,Bangalore/Bengaluru,Not disclosed,"IT Skills, Cloud, Procurement, Process orientation, Finance, Billing, Consulting, Financial operations",https://www.naukri.com/job-listings-new-associate-procure-to-pay-processing-accenture-solutions-pvt-ltd-bangalore-bengaluru-0-to-1-years-120322903430?src=jobsearchDesk&sid=16470884150601180&xp=10&px=18
349,Process Associate - Opportunity to Cash,Siemens,Bangalore/Bengaluru,Not disclosed,"Supply chain, Business services, Process Associate, Front office, Payment processing, ERP system, Accounting, Customer service",https://www.naukri.com/job-listings-process-associate-opportunity-to-cash-siemens-limited-bangalore-bengaluru-0-to-3-years-110322500784?src=jobsearchDesk&sid=16470884150601180&xp=11&px=18
350,600 Requirements For International BPO Voice Process,Intellecta Consultants,"Pune, Chennai, Mumbai (All Areas)","1,50,000 - 6,50,000 PA.","BPO, inbound, outbound, Customer Service, International Call Center, Webchat, Voice Process, Chat Process",https://www.naukri.com/job-listings-600-requirements-for-international-bpo-voice-process-intellecta-consultants-pune-chennai-mumbai-all-areas-0-to-5-years-110322007219?src=jobsearchDesk&sid=16470884150601180&xp=12&px=18
351,Hiring For International BPO Voice Process-Salary up To 55k.,Intellecta Consultants,"Pune, Chennai, Mumbai (All Areas)","2,00,000 - 6,50,000 PA.","BPO, voice, international bpo, inbound, outbound, Customer Service, International Call Center, Webchat",https://www.naukri.com/job-listings-hiring-for-international-bpo-voice-process-salary-up-to-55k-intellecta-consultants-pune-chennai-mumbai-all-areas-0-to-5-years-100821004192?src=jobsearchDesk&sid=16470884150601180&xp=13&px=18
